id,aquifer,zone,top,bottom,legislation,notes
79329,Shepparton,Echuca,6,6,,cited
79324,Deep Lead,Echuca,78,84,"seasonal allocations of Elmore-Rochester, Bamawm and Euchuca zones",cited
73425,Deep Lead,Echuca,87,88.5,,
97119,Deep Lead,Echuca,122,127,,
102827,Deep Lead,Echuca,108,114,,
102828,Deep Lead,Echuca,160.2,166.8,,
102829,Deep Lead,Echuca,70.5,73.5,,
97120,Shepparton,Echuca,29,32,,
102830,Shepparton,Echuca,16,22,,
102831,Basement,Echuca,177,195,,
47248,Shepparton,Bamawm,22.86,25.9,,
47249,Shepparton,Bamawm,12.19,13.72,,
47254,Shepparton,Bamawm,25,26,,"cited, poorly connected north of Waranga Western Channel"
47251,Shepparton,Bamawm,21.8,27,,
89576,Shepparton,Bamawm,2,14,,
79328,Shepparton,Bamawm,27.5,30,,
WRK059877,Shepparton,Bamawm,33.6,36.5,,
47247,Deep Lead,Bamawm,57.6,72.8,,
WRK059873,Deep Lead,Bamawm,82.2,87,,
WRK059876,Deep Lead,Bamawm,91.6,97.3,,
79327,Deep Lead,Bamawm,75,78,,
47253,Deep Lead,Bamawm,123,129,,cited
47250,Deep Lead,Bamawm,72.9,85,,
47255,Basement,Bamawm,91,115,,
62600,Shepparton,Elmore-Rochester,5,17,,
62602,Shepparton,Elmore-Rochester,6,12,,
53661,Shepparton,Elmore-Rochester,11,17,,
60130,Shepparton,Elmore-Rochester,19,23.2,,
60181,Shepparton,Elmore-Rochester,9,15,,
? 62589,Deep Lead,Elmore-Rochester,78,102,,posiblly incorrect ID
62592,Deep Lead,Elmore-Rochester,68.3,80.7,,
62601,Deep Lead,Elmore-Rochester,44,56,,
60131,Deep Lead,Elmore-Rochester,90.7,123.45,,
60134,Deep Lead,Elmore-Rochester,67,131,,
62606,Shepparton,Elmore-Rochester,14,20,,
62605,Deep Lead,Elmore-Rochester,62.5,72.5,,
109521,Shepparton,Elmore-Rochester,24.2,26.2,,
109522,Shepparton,Elmore-Rochester,38.4,39.5,,
89574,Deep Lead,Elmore-Rochester,84,88,,cited
89580,Shepparton,Elmore-Rochester,38.48,50,,cited
89596,Shepparton,Elmore-Rochester,2,14,,
89584,Deep Lead,Elmore-Rochester,100.47,139.94,,
WRK059871,Shepparton,Elmore-Rochester,16.4,19,,
WRK059870,Shepparton,Elmore-Rochester,27.3,29.2,,
65876,Deep Lead,Barnadown,28,34,,
65875,Basement,Barnadown,53,64,,
82999,Deep Lead,Barnadown,47,49,,"cited, Coliban Basalt, Shepparton Formation sands, stable"
G8010638/03,?,Barnadown,9,12,,
G8010638/02,?,Barnadown,25,31,,
G8010638/01,?,Barnadown,59,65,,
G8010638/04,?,Barnadown,5,8,,
G8010638/05,?,Barnadown,26,29,,
G8010638/06,?,Barnadown,12,15,,
G8010638/07,?,Barnadown,25,31,,
G8010638/08,?,Barnadown,9.5,11,,
62599,?,Barnadown,0,17,,
62595,?,Barnadown,71.2,78.7,,
62597,?,Barnadown,14,20,,
111204,?,Barnadown,108,120,,
62589,,,,,seasonal allocations of Barnadown zone,
